date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-04 09:25:11,jmanuelisbylex,,0,0,0,"La suspensión de las procesiones, varapalo económico para las hermandades https://elitediario.com/la-suspension-de-las-procesiones-varapalo-economico-para-las-hermandades/ #SemanaSantaVirtual #SemanaSanta2020 #SemanaSantaEnCasa #SemanaSanta #Andalucia #impacto #crisis #SARSCoV2 #coronavirus #virus #COVID19 #pandemia hermandades #perjuicios #daños",,,#SemanaSantaVirtual #SemanaSanta2020 #SemanaSantaEnCasa #SemanaSanta #Andalucia #impacto #crisis #SARSCoV2 #coronavirus #virus #COVID19 #pandemia #perjuicios #da,1246368207679750146,https://twitter.com/jmanuelisbylex/status/1246368207679750146
2020-04-04 09:24:52,ChemistredPuck,,0,0,0,"En mi laboratorio #hemoterapia llevamos dias en casabuscando #bibliografia de transfusion #sanguinea y #donaciones y #SARSCoV2 siguen sin hacerse #pcr a donantes. Y no sabemos si puede repercutir en nuestros inmunodeprimidos algun articulo @sehh_es @SEIMC_ @SEinmunologia ",,@sehh_es @SEIMC_ @SEinmunologia,#hemoterapia #bibliografia #sanguinea #donaciones #SARSCoV2 #pcr,1246368125131554820,https://twitter.com/ChemistredPuck/status/1246368125131554820
2020-04-04 09:24:51,jmanuelcarrion,,0,0,0,"La suspensión de las procesiones, varapalo económico para las hermandades https://elitediario.com/la-suspension-de-las-procesiones-varapalo-economico-para-las-hermandades/ #SemanaSantaVirtual #SemanaSanta2020 #SemanaSantaEnCasa #SemanaSanta #Andalucia #impacto #crisis #SARSCoV2 #coronavirus #virus #COVID19 #pandemia hermandades #perjuicios #daños",,,#SemanaSantaVirtual #SemanaSanta2020 #SemanaSantaEnCasa #SemanaSanta #Andalucia #impacto #crisis #SARSCoV2 #coronavirus #virus #COVID19 #pandemia #perjuicios #da,1246368121482620929,https://twitter.com/jmanuelcarrion/status/1246368121482620929
2020-04-04 09:24:36,ajimenal2,,0,0,0,"La suspensión de las procesiones, varapalo económico para las hermandades https://elitediario.com/la-suspension-de-las-procesiones-varapalo-economico-para-las-hermandades/ #SemanaSantaVirtual #SemanaSanta2020 #SemanaSantaEnCasa #SemanaSanta #Andalucia #impacto #crisis #SARSCoV2 #coronavirus #virus #COVID19 #pandemia hermandades #perjuicios #daños",,,#SemanaSantaVirtual #SemanaSanta2020 #SemanaSantaEnCasa #SemanaSanta #Andalucia #impacto #crisis #SARSCoV2 #coronavirus #virus #COVID19 #pandemia #perjuicios #da,1246368061730545665,https://twitter.com/ajimenal2/status/1246368061730545665
2020-04-04 09:24:17,KHuseljic,maithi_nk,0,0,0,"@maithi_nk hat ein sehr informatives Video zu #SARSCoV2 gemacht. ",,@maithi_nk,#SARSCoV2,1246367978825924608,https://twitter.com/KHuseljic/status/1246367978825924608
2020-04-04 09:24:10,XavierAbadMdG,,0,0,1,"Investigadores australianos demuestran que un fármaco antiparasitario mata al coronavirus causant de la #CoVID19 en 48 horas. La #ivermectina pot amb el #SARSCoV2? Però anem a les fonts... ",,,#CoVID19 #ivermectina #SARSCoV2,1246367950975705096,https://twitter.com/XavierAbadMdG/status/1246367950975705096
2020-04-04 09:24:03,_NightDragon_,,0,0,0,"Let's play a ""game"": Imagine one wake up from a 1-year long coma or was on a 1-year space trip without contact to earth, now just returned: What would you tell her/him, in one tweet? #SARSCoV2 #COVID19 #STORY",,,#SARSCoV2 #COVID19 #STORY,1246367921678569472,https://twitter.com/_NightDragon_/status/1246367921678569472
2020-04-04 09:23:44,POD198,GabrielScally,0,0,0,"#COVID19 #CoronaVirus #SARSCoV2 #StayHomeStaySafe @NicolaSturgeon",,@NicolaSturgeon,#COVID19 #CoronaVirus #SARSCoV2 #StayHomeStaySafe,1246367841491668997,https://twitter.com/POD198/status/1246367841491668997
2020-04-04 09:23:24,EinsteinCovid19,RaderSerge,0,0,0,"Quand on aura trouvé le vaccin contre le #SARSCoV2 faudra trouver un vaccin contre les raclures. #LobbyAntiVaccins",,,#SARSCoV2 #LobbyAntiVaccins,1246367756930473990,https://twitter.com/EinsteinCovid19/status/1246367756930473990
2020-04-04 09:22:58,FedorFreytag,,0,0,0,"Volker Stollorz vom @smc_germany sortiert die wissenschaftliche Reputation derzeit medial agierender Virologen. Ich kommentiere es nicht, so sehr es mir auch in den Fingern juckt. Hört selbst. #Corona #SARSCoV2 #Covid19",,@smc_germany,#Corona #SARSCoV2 #Covid19,1246367648503476226,https://twitter.com/FedorFreytag/status/1246367648503476226
2020-04-04 09:22:27,AndreasBoes,FlorianGallwitz,0,0,1,"Sehen Sie es mal so: die Virologie befindet sich in einem gigantischen Feldversuch und hätte gerne mehr Bewegungsdaten, um Hypothesen über Infektionsketten und die genetische Beschaffenheit des #SARSCoV2 mit Bewegungsdaten abgleichen zu können",,,#SARSCoV2,1246367518438182912,https://twitter.com/AndreasBoes/status/1246367518438182912
2020-04-04 09:21:57,mscott7612,UKMPtweets,0,0,0,"#covid19UK #SARSCoV2",,,#covid19UK #SARSCoV2,1246367392210604032,https://twitter.com/mscott7612/status/1246367392210604032
2020-04-04 09:19:20,ct_troublerin,,0,0,0,"#FlattenTheCuve #CoronavirusPandemic #SARSCoV2 #SocialDistancing #StayAtHomeChallenge #Maskenpflicht - ja oder nein ?",,,#FlattenTheCuve #CoronavirusPandemic #SARSCoV2 #SocialDistancing #StayAtHomeChallenge #Maskenpflicht,1246366732345839617,https://twitter.com/ct_troublerin/status/1246366732345839617
2020-04-04 09:18:13,parcelpanic,,0,0,0,"die frage, wer die #COVIDIOTS sind, wird man hinterher wissen. solange sich jeder beim job wegen mangelnder vorsicht oder fehlendem schutz #SARSCoV2 holen kann, bleibt #wirbleibenzuhause augenwischerei. kommerz geht vor sicherheit - DAS regelt der markt...",,,#COVIDIOTS #SARSCoV2 #wirbleibenzuhause,1246366453101735936,https://twitter.com/parcelpanic/status/1246366453101735936
2020-04-04 09:17:16,NC83BAM,,0,0,0,"#COVID19 #coronavirus #SARSCoV2 #Covid_19 #baselstadt #Baselland #solothurn #Aargau #CoronaInfoCH #schweiz #freiwilligeausgangssperre #StayAtHome",,,#COVID19 #coronavirus #SARSCoV2 #Covid_19 #baselstadt #Baselland #solothurn #Aargau #CoronaInfoCH #schweiz #freiwilligeausgangssperre #StayAtHome,1246366214269665280,https://twitter.com/NC83BAM/status/1246366214269665280
2020-04-04 09:16:34,jlw4444,kancelaria27,0,0,0,"#SARSCoV2 Prof. amerykańskiej Massachusetts Institute of Technology (MIT) Lydia Bourouiba ostrzega: ​​kropelki patogenu mogą przenosić się na odległość nawet 8 metrów! Jej badania ostrzegają, że pozostałości kropel mogą być zawieszone w powietrzu przez wiele godzin ",,,#SARSCoV2,1246366036816998400,https://twitter.com/jlw4444/status/1246366036816998400
2020-04-04 09:15:43,SciScribbler,,1,0,0,"++ #SARSCoV2 e ANIMALI DOMESTICI ++ Siccome la cosa ha attirato attenzione di stampa in odore di cialtroneria, meglio chiarire subito: SÌ: gatti, furetti e un po' anche i cani, possono essere infettati col #coronavirus dai loro padroni. È molto, molto raro, ma è successo.",,,#SARSCoV2 #coronavirus,1246365823335313408,https://twitter.com/SciScribbler/status/1246365823335313408
2020-04-04 09:13:19,IWinnwa,Hanseatengrau,0,0,0,"Der „Erklärfilm“ für Verharmloser! Kann jemand das animieren, bitte, und alle müssen sich das anschauen, wenn sie überlegen, zum gemeinsamen Chillen in den Park, zur Corona-Party oder über Ostern dann doch zu Oma zu gehen? #SARSCoV2 #Maskeauf #AbstandHalt #gemeinsamgegencorona",,,#SARSCoV2 #Maskeauf #AbstandHalt #gemeinsamgegencorona,1246365218667626496,https://twitter.com/IWinnwa/status/1246365218667626496
